idade,imc,filhos,genero,regiao,fumante,encargos
62,31.23,4,feminino,Sul,sim,4481.26
18,26.16,3,masculino,Leste,não,2023.88
21,27.6,3,masculino,Oeste,não,1650.01
21,36.95,0,masculino,Oeste,sim,2828.47
57,34.64,3,feminino,Leste,sim,4748.67
27,38.7,3,masculino,Oeste,sim,4992.83
37,24.95,2,feminino,Leste,sim,4262.23
39,39.29,1,feminino,Oeste,não,1502.84
54,36.76,0,feminino,Norte,sim,3465.33
41,29.51,3,feminino,Sul,não,1888.62
24,25.78,3,masculino,Leste,sim,3672.41
42,30.91,1,masculino,Oeste,não,2114.36
42,30.06,4,masculino,Oeste,sim,4694.82
30,27.53,0,masculino,Oeste,não,87.62
19,36.63,3,masculino,Oeste,sim,4026.6
56,30.94,0,feminino,Leste,sim,3650.17
57,25.58,0,feminino,Leste,sim,3139.99
41,33.71,4,masculino,Sul,sim,4730.6
64,32.68,3,feminino,Oeste,sim,4276.87
42,36.1,0,feminino,Norte,não,1279.17
35,30.47,3,masculino,Oeste,não,2604.61
55,22.1,3,feminino,Norte,não,2274.74
43,34.0,2,masculino,Norte,sim,4186.72
31,25.31,4,feminino,Oeste,sim,3859.0
26,29.84,0,feminino,Norte,sim,3687.76
27,20.38,0,feminino,Leste,não,1002.58
38,29.51,3,masculino,Norte,sim,3212.49
34,24.42,0,feminino,Leste,sim,2971.1
23,29.59,2,masculino,Leste,sim,2015.67
33,31.3,2,masculino,Sul,sim,4403.08
18,28.05,1,feminino,Sul,não,1433.44
36,27.85,0,masculino,Sul,não,1240.63
53,28.03,0,feminino,Oeste,sim,3887.26
42,30.2,4,feminino,Leste,sim,3530.04
47,27.28,3,masculino,Norte,sim,4583.61
37,36.84,4,feminino,Leste,sim,3599.84
37,26.35,2,masculino,Sul,sim,3611.71
32,25.16,0,feminino,Oeste,sim,3361.63
57,33.69,0,feminino,Leste,não,1983.33
50,33.81,4,feminino,Sul,sim,4993.82
19,28.93,4,feminino,Sul,sim,3476.22
27,29.03,1,masculino,Sul,não,1493.61
50,18.92,1,feminino,Sul,não,1525.45
49,32.83,1,masculino,Leste,sim,2843.77
28,19.08,4,masculino,Sul,sim,3649.54
41,30.45,3,feminino,Oeste,não,2104.58
53,36.85,4,masculino,Oeste,não,1777.2
29,30.73,2,feminino,Norte,não,1490.51
46,30.95,0,feminino,Sul,sim,4136.02
52,29.15,3,feminino,Sul,não,2674.0
18,38.98,0,feminino,Oeste,sim,2511.12
18,36.64,3,feminino,Sul,não,2304.27
54,23.02,3,masculino,Oeste,sim,3753.41
23,32.22,2,masculino,Oeste,não,2176.76
56,29.51,2,feminino,Norte,não,2562.06
58,23.25,2,masculino,Leste,sim,3713.02
35,23.67,0,feminino,Sul,não,817.43
33,26.49,2,feminino,Leste,sim,3626.51
22,35.46,3,masculino,Norte,sim,4082.04
59,31.25,0,masculino,Leste,sim,3563.29
60,34.4,3,masculino,Sul,não,2886.93
49,30.62,1,masculino,Norte,sim,3387.84
19,32.69,0,masculino,Sul,não,1155.39
19,31.46,3,masculino,Leste,não,1990.01
57,31.94,3,feminino,Norte,não,2997.67
59,23.38,0,feminino,Oeste,não,2408.88
53,36.46,1,masculino,Oeste,sim,3175.46
56,26.15,0,feminino,Oeste,não,1748.31
29,19.02,2,masculino,Leste,sim,3895.05
64,23.73,2,masculino,Sul,não,1853.05
36,28.08,2,masculino,Norte,sim,4211.64
45,25.28,4,feminino,Sul,sim,4600.82
18,30.55,1,masculino,Leste,sim,3122.49
32,40.43,0,feminino,Leste,sim,3335.0
53,40.9,4,feminino,Leste,sim,4694.42
30,31.41,1,masculino,Norte,sim,3178.45
60,25.49,3,masculino,Oeste,não,1599.5
38,26.38,0,masculino,Leste,não,1140.04
29,31.16,2,feminino,Sul,não,2305.83
22,27.61,1,feminino,Leste,sim,3639.29
24,23.61,3,feminino,Oeste,sim,4317.41
22,37.28,1,masculino,Leste,não,2002.67
21,29.0,3,feminino,Norte,sim,4704.71
30,28.08,1,feminino,Sul,sim,3626.36
54,26.91,2,feminino,Norte,sim,4110.45
